# t(s), cv(%), R($), iR($), C($), iC($), d
0.000,75.000,0.670,0.670,45322498.655,771.605,0.000
1.000,74.925,1.357,1.357,770.833,771.605,0.100
2.000,74.925,0.592,0.592,770.833,771.605,0.000
3.000,74.925,0.524,0.524,770.833,771.605,0.000
4.000,74.925,0.942,0.942,770.833,771.605,0.000
5.000,74.850,2.913,2.913,770.062,771.605,0.100
6.000,74.850,0.560,0.560,770.062,771.605,0.000
7.000,74.775,0.491,0.491,769.290,771.605,0.100
8.000,74.550,2.652,2.652,766.975,771.605,0.300
9.000,74.550,0.995,0.996,766.975,771.605,0.000
10.000,74.475,0.397,0.397,766.204,771.605,0.100
11.000,74.475,0.822,0.840,766.204,771.605,0.000
12.000,74.475,1.490,1.490,766.204,771.605,0.000
13.000,74.400,0.586,0.587,765.432,771.605,0.100
14.000,74.250,0.334,0.334,763.889,771.605,0.200
15.000,74.175,1.552,1.561,763.117,771.605,0.100
16.000,74.100,1.473,1.490,762.346,771.605,0.100
17.000,73.875,0.719,0.719,760.031,771.605,0.300
18.000,73.725,0.385,0.385,758.488,771.605,0.200
19.000,73.725,1.156,1.178,758.488,771.605,0.000
20.000,73.725,1.914,1.959,758.488,771.605,0.000
21.000,73.725,0.389,0.389,758.488,771.605,0.000
22.000,73.725,0.939,0.939,758.488,771.605,0.000
23.000,73.725,1.698,1.759,758.488,771.605,0.000
24.000,73.575,0.659,0.682,756.944,771.605,0.200
25.000,73.500,0.352,0.352,756.173,771.605,0.100
26.000,73.425,1.519,1.519,755.401,771.605,0.100
27.000,73.350,1.682,1.724,754.630,771.605,0.100
28.000,73.275,0.321,0.337,753.858,771.605,0.100
29.000,73.275,0.455,0.455,753.858,771.605,0.000
30.000,73.200,2.169,2.169,753.086,771.605,0.100
31.000,73.125,0.866,0.870,752.315,771.605,0.100
32.000,73.050,0.377,0.378,751.543,771.605,0.100
33.000,73.050,4.182,4.182,751.543,771.605,0.000
34.000,73.050,1.469,1.469,751.543,771.605,0.000
35.000,72.825,0.770,0.770,749.228,771.605,0.300
36.000,72.750,0.404,0.409,748.457,771.605,0.100
37.000,72.600,1.017,1.017,746.914,771.605,0.200
38.000,72.600,1.220,1.226,746.914,771.605,0.000
39.000,72.525,0.669,0.669,746.142,771.605,0.100
40.000,72.375,0.373,0.396,744.599,771.605,0.200
41.000,72.375,1.339,1.598,744.599,771.605,0.000
42.000,72.300,0.945,0.960,743.827,771.605,0.100
43.000,72.300,0.393,0.394,743.827,771.605,0.000
44.000,72.300,1.085,1.090,743.827,771.605,0.000
45.000,72.300,1.619,1.629,743.827,771.605,0.000
46.000,72.150,1.860,1.864,742.284,771.605,0.200
47.000,72.150,0.568,0.579,742.284,771.605,0.000
48.000,72.075,1.294,1.312,741.512,771.605,0.100
49.000,72.000,2.664,2.772,740.741,771.605,0.100
50.000,71.925,0.283,0.284,739.969,771.605,0.100
51.000,71.850,1.041,1.045,739.198,771.605,0.100
52.000,71.700,1.403,1.537,737.654,771.605,0.200
53.000,71.700,1.339,1.448,737.654,771.605,0.000
54.000,71.625,0.366,0.373,736.883,771.605,0.100
55.000,71.550,1.640,1.657,736.111,771.605,0.100
56.000,71.550,1.579,1.640,736.111,771.605,0.000
57.000,71.475,0.967,0.993,735.340,771.605,0.100
58.000,71.400,0.701,0.751,734.568,771.605,0.100
59.000,71.400,1.947,2.002,734.568,771.605,0.000
60.000,71.400,1.132,1.223,734.568,771.605,0.000
61.000,71.400,0.471,0.494,734.568,771.605,0.000
62.000,71.250,0.834,0.837,733.025,771.605,0.200
63.000,71.025,1.529,1.564,730.710,771.605,0.300
64.000,71.025,0.706,0.913,730.710,771.605,0.000
65.000,71.025,0.246,0.254,730.710,771.605,0.000
66.000,71.025,0.812,0.880,730.710,771.605,0.000
67.000,70.875,1.212,1.212,729.167,771.605,0.200
68.000,70.800,1.116,1.140,728.395,771.605,0.100
69.000,70.800,0.612,0.673,728.395,771.605,0.000
70.000,70.725,0.880,0.939,727.623,771.605,0.100
71.000,70.725,1.969,2.155,727.623,771.605,0.000
72.000,70.575,0.616,0.625,726.080,771.605,0.200
73.000,70.425,0.430,0.489,724.537,771.605,0.200
74.000,70.350,3.587,3.710,723.765,771.605,0.100
75.000,70.350,0.845,0.852,723.765,771.605,0.000
76.000,70.200,0.370,0.372,722.222,771.605,0.200
77.000,70.050,0.987,1.142,720.679,771.605,0.200
78.000,69.975,1.804,1.959,719.907,771.605,0.100
79.000,69.900,0.614,0.621,719.136,771.605,0.100
80.000,69.750,0.409,0.410,717.593,771.605,0.200
81.000,69.675,1.441,1.558,716.821,771.605,0.100
82.000,69.600,1.287,1.669,716.049,771.605,0.100
83.000,69.450,0.252,0.290,714.506,771.605,0.200
84.000,69.150,0.607,0.668,711.420,771.605,0.400
85.000,68.850,1.454,1.707,708.333,771.605,0.400
86.000,68.850,1.879,2.179,708.333,771.605,0.000
87.000,68.775,0.327,0.376,707.562,771.605,0.100
88.000,68.625,0.691,0.844,706.019,771.605,0.200
89.000,68.550,1.529,1.593,705.247,771.605,0.100
90.000,68.400,0.550,0.605,703.704,771.605,0.200
91.000,68.400,0.518,0.561,703.704,771.605,0.000
92.000,68.325,1.653,1.817,702.932,771.605,0.100
93.000,68.250,0.937,1.111,702.160,771.605,0.100
94.000,68.100,0.333,0.345,700.617,771.605,0.200
95.000,67.950,0.604,0.892,699.074,771.605,0.200
96.000,67.875,1.999,2.170,698.302,771.605,0.100
97.000,67.725,0.570,0.586,696.759,771.605,0.200
98.000,67.575,0.468,0.507,695.216,771.605,0.200
99.000,67.500,2.609,2.760,694.444,771.605,0.100
100.000,67.275,1.225,1.305,692.130,771.605,0.300
101.000,67.125,0.582,0.672,690.586,771.605,0.200
102.000,67.050,0.981,1.031,689.815,771.605,0.100
103.000,67.050,1.301,1.517,689.815,771.605,0.000
104.000,66.900,1.149,1.190,688.272,771.605,0.200
105.000,66.675,0.231,0.333,685.957,771.605,0.300
106.000,66.600,1.166,1.272,685.185,771.605,0.100
107.000,66.600,1.116,1.362,685.185,771.605,0.000
108.000,66.600,0.804,0.817,685.185,771.605,0.000
109.000,66.375,0.567,0.598,682.870,771.605,0.300
110.000,66.375,1.537,1.695,682.870,771.605,0.000
111.000,66.300,1.167,1.330,682.099,771.605,0.100
112.000,66.225,0.282,0.286,681.327,771.605,0.100
113.000,66.000,0.566,0.867,679.012,771.605,0.300
114.000,65.925,0.960,1.193,678.241,771.605,0.100
115.000,65.775,5.039,5.109,676.698,771.605,0.200
116.000,65.775,0.350,0.418,676.698,771.605,0.000
117.000,65.775,0.782,0.871,676.698,771.605,0.000
118.000,65.550,1.217,1.387,674.383,771.605,0.300
119.000,65.475,1.020,1.092,673.611,771.605,0.100
120.000,65.400,0.672,0.678,672.840,771.605,0.100
121.000,65.175,1.555,1.638,670.525,771.605,0.300
122.000,65.100,0.719,1.478,669.753,771.605,0.100
123.000,64.950,0.385,0.509,668.210,771.605,0.200
124.000,64.875,0.635,0.954,667.438,771.605,0.100
125.000,64.725,1.318,1.838,665.895,771.605,0.200
126.000,64.725,1.015,1.277,665.895,771.605,0.000
127.000,64.500,0.451,0.469,663.580,771.605,0.300
128.000,64.275,1.107,1.237,661.265,771.605,0.300
129.000,64.275,1.142,1.342,661.265,771.605,0.000
130.000,64.200,0.753,0.949,660.494,771.605,0.100
131.000,63.975,0.362,0.438,658.179,771.605,0.300
132.000,63.825,0.982,1.185,656.636,771.605,0.200
133.000,63.675,0.915,1.303,655.093,771.605,0.200
134.000,63.600,0.514,0.571,654.321,771.605,0.100
135.000,63.450,0.601,0.657,652.778,771.605,0.200
136.000,63.450,1.495,1.850,652.778,771.605,0.000
137.000,63.375,1.806,2.425,652.006,771.605,0.100
138.000,63.375,0.490,0.552,652.006,771.605,0.000
139.000,63.300,0.679,0.846,651.235,771.605,0.100
140.000,63.075,1.454,1.774,648.920,771.605,0.300
141.000,63.075,0.597,0.718,648.920,771.605,0.000
142.000,62.925,0.423,0.428,647.377,771.605,0.200
143.000,62.700,1.427,1.575,645.062,771.605,0.300
144.000,62.625,1.144,1.711,644.290,771.605,0.100
145.000,62.550,0.196,0.381,643.519,771.605,0.100
146.000,62.400,0.713,0.734,641.975,771.605,0.200
147.000,62.400,1.709,1.906,641.975,771.605,0.000
148.000,62.325,1.038,1.189,641.204,771.605,0.100
149.000,62.250,1.080,1.111,640.432,771.605,0.100
150.000,62.250,1.292,1.466,640.432,771.605,0.000
151.000,62.100,1.621,1.866,638.889,771.605,0.200
152.000,61.950,0.904,1.024,637.346,771.605,0.200
153.000,61.950,0.489,0.557,637.346,771.605,0.000
154.000,61.800,1.404,1.584,635.802,771.605,0.200
155.000,61.800,1.283,1.398,635.802,771.605,0.000
156.000,61.725,0.375,0.427,635.031,771.605,0.100
157.000,61.650,0.405,0.904,634.259,771.605,0.100
158.000,61.575,1.446,2.297,633.488,771.605,0.100
159.000,61.275,0.814,1.059,630.401,771.605,0.400
160.000,61.050,0.496,0.514,628.086,771.605,0.300
161.000,60.900,1.630,2.020,626.543,771.605,0.200
162.000,60.750,2.795,2.954,625.000,771.605,0.200
163.000,60.600,0.441,0.704,623.457,771.605,0.200
164.000,60.375,0.731,0.802,621.142,771.605,0.300
165.000,60.225,1.261,1.428,619.599,771.605,0.200
166.000,60.225,1.081,1.381,619.599,771.605,0.000
167.000,60.075,0.262,0.383,618.056,771.605,0.200
168.000,59.850,0.902,1.031,615.741,771.605,0.300
169.000,59.700,1.625,1.926,614.198,771.605,0.200
170.000,59.625,0.759,0.864,613.426,771.605,0.100
171.000,59.475,0.367,1.086,611.883,771.605,0.200
172.000,59.325,0.940,1.407,610.340,771.605,0.200
173.000,59.325,1.163,1.396,610.340,771.605,0.000
174.000,59.175,0.588,0.747,608.796,771.605,0.200
175.000,59.175,0.815,0.908,608.796,771.605,0.000
176.000,59.100,1.312,1.464,608.025,771.605,0.100
177.000,58.950,1.122,1.409,606.481,771.605,0.200
178.000,58.800,0.619,0.689,604.938,771.605,0.200
179.000,58.725,0.959,1.155,604.167,771.605,0.100
180.000,58.650,1.365,1.666,603.395,771.605,0.100
181.000,58.425,0.858,1.143,601.080,771.605,0.300
182.000,58.275,0.442,0.480,599.537,771.605,0.200
183.000,58.200,0.780,1.003,598.765,771.605,0.100
184.000,58.125,3.498,3.914,597.994,771.605,0.100
185.000,57.900,0.331,0.499,595.679,771.605,0.300
186.000,57.750,0.668,0.735,594.136,771.605,0.200
187.000,57.600,1.012,1.336,592.593,771.605,0.200
188.000,57.375,2.034,2.304,590.278,771.605,0.300
189.000,57.300,0.250,0.313,589.506,771.605,0.100
190.000,56.925,0.895,1.251,585.648,771.605,0.500
191.000,56.625,1.617,2.386,582.562,771.605,0.400
192.000,56.475,0.747,0.905,581.019,771.605,0.200
193.000,56.175,0.335,0.586,577.932,771.605,0.400
194.000,55.875,2.102,2.740,574.846,771.605,0.400
195.000,55.800,0.931,1.359,574.074,771.605,0.100
196.000,55.725,1.565,1.801,573.302,771.605,0.100
197.000,55.575,0.780,1.061,571.759,771.605,0.200
198.000,55.200,1.001,1.642,567.901,771.605,0.500
199.000,55.200,1.036,1.527,567.901,771.605,0.000
200.000,55.050,0.360,0.494,566.358,771.605,0.200
201.000,54.900,1.273,1.709,564.815,771.605,0.200
202.000,54.825,1.969,2.323,564.043,771.605,0.100
203.000,54.750,1.156,1.311,563.272,771.605,0.100
204.000,54.675,0.602,0.724,562.500,771.605,0.100
205.000,54.525,1.216,1.875,560.957,771.605,0.200
206.000,54.450,0.946,1.674,560.185,771.605,0.100
207.000,54.450,0.311,0.456,560.185,771.605,0.000
208.000,54.300,0.588,0.660,558.642,771.605,0.200
209.000,54.225,1.438,2.089,557.870,771.605,0.100
210.000,54.150,0.935,1.559,557.099,771.605,0.100
211.000,54.000,0.404,0.481,555.556,771.605,0.200
212.000,53.850,1.474,1.872,554.012,771.605,0.200
213.000,53.550,1.489,2.255,550.926,771.605,0.400
214.000,53.550,0.379,0.500,550.926,771.605,0.000
215.000,53.325,0.422,1.051,548.611,771.605,0.300
216.000,53.175,1.167,1.843,547.068,771.605,0.200
217.000,53.100,1.342,1.594,546.296,771.605,0.100
218.000,52.950,0.472,0.567,544.753,771.605,0.200
219.000,52.725,0.429,0.784,542.438,771.605,0.300
220.000,52.725,0.947,2.126,542.438,771.605,0.000
221.000,52.425,0.904,1.800,539.352,771.605,0.400
222.000,52.275,0.732,1.222,537.809,771.605,0.200
223.000,52.275,1.116,1.569,537.809,771.605,0.000
224.000,52.050,0.953,1.627,535.494,771.605,0.300
225.000,51.825,2.992,3.273,533.179,771.605,0.300
226.000,51.825,0.522,0.684,533.179,771.605,0.000
227.000,51.825,1.329,1.886,533.179,771.605,0.000
228.000,51.600,1.065,1.476,530.864,771.605,0.300
229.000,51.225,0.234,0.483,527.006,771.605,0.500
230.000,51.000,0.580,0.839,524.691,771.605,0.300
231.000,50.850,0.982,1.996,523.148,771.605,0.200
232.000,50.625,1.648,1.859,520.833,771.605,0.300
233.000,50.625,0.279,0.404,520.833,771.605,0.000
234.000,50.250,0.807,1.252,516.975,771.605,0.500
235.000,49.950,2.501,4.623,513.889,771.605,0.400
236.000,49.950,0.694,1.229,513.889,771.605,0.000
237.000,49.650,0.768,0.952,510.802,771.605,0.400
238.000,49.275,4.175,4.488,506.944,771.605,0.500
239.000,49.125,1.251,1.480,505.401,771.605,0.200
240.000,48.975,0.251,0.602,503.858,771.605,0.200
241.000,48.825,1.174,1.382,502.315,771.605,0.200
242.000,48.750,1.331,2.110,501.543,771.605,0.100
243.000,48.600,1.151,1.347,500.000,771.605,0.200
244.000,48.375,0.570,0.712,497.685,771.605,0.300
245.000,48.300,1.843,2.072,496.914,771.605,0.100
246.000,48.300,1.330,1.822,496.914,771.605,0.000
247.000,48.000,0.832,1.082,493.827,771.605,0.400
248.000,47.700,0.625,0.805,490.741,771.605,0.400
249.000,47.625,1.469,1.902,489.969,771.605,0.100
